id,man_id,model_name,is_car,is_moto,is_spec
8987,583,652e Cabin,False,False,True
8971,583,654 Lux Cabin,False,False,True
8975,583,654 Lux Platform/Canopy,False,False,True
8983,583,654 Orchard/Rops,False,False,True
8967,583,654e Cabin,False,False,True
8979,583,654e Platform/Canopy,False,False,True
15173,71,657,False,False,True
15149,71,657 Coal Bowl,False,False,True
1184,43,66,True,False,False
1778,45,66,False,False,True
2682,252,660 Enduro,False,True,False
3174,105,660 SMC,False,True,False
2683,252,660 Supermoto,False,True,False
3098,106,660 Vintage,False,True,False
6498,146,6600 ,False,False,True
6499,146,6720 ,False,False,True
4928,365,680,False,False,True
6500,146,6801,False,False,True
8207,515,68S,False,True,False
7741,45,69,True,False,False
4936,365,690,False,False,True
3175,105,690 Duke,False,True,False
3176,105,690 Enduro,False,True,False
3177,105,690 SMC,False,True,False
3178,105,690 SMR,False,True,False
19157,1265,6HP,False,True,False
19189,1265,6HP Electric,False,True,False
5142,131,6m³,False,False,True
9391,132,6T,False,False,True
15521,110,6T-2,False,False,True
7721,461,7,False,False,True
9407,132,7,False,False,True
5895,154,7 SERIES STAGE 4,False,False,True
16325,16,70 D-7E,False,False,True
16329,16,70 DS-7E,False,False,True
4810,121,70 XT,False,False,True
8501,541,700 Vario,False,False,True
8369,236,700CL-X,False,True,False
2974,180,701 Enduro,False,True,False
2975,180,701 Supermoto,False,True,False
9007,583,702 Lux Cabin,False,False,True
9011,583,702e Cabin,False,False,True
3207,272,703,False,True,False
6529,197,704,False,False,True
10694,345,704,False,False,True
18189,1173,704,False,False,True
9043,583,704 Lux Cabin,False,False,True
9047,583,704 Lux Cabin (CRD),False,False,True
9027,583,704 Lux Platform/Canopy,False,False,True
9035,583,704 Orchard/Rops,False,False,True
9015,583,704e Cabin,False,False,True
9039,583,704e Platform/Canopy,False,False,True
9023,583,704e+ Cabin,False,False,True
9031,583,704e+ Platform/Canopy,False,False,True
18597,1229,705 MR,False,False,True
18513,1229,705 ST,False,False,True
18677,1229,705 UW,False,False,True
3208,272,708,False,True,False
9395,132,70T,False,False,True
3581,291,72,False,True,False
8413,537,720,True,False,False
87,3,725,True,False,False
13909,71,725,False,False,True
13889,71,725 Bare Chassis,False,False,True
5894,154,7250 TTW WARRIOR,False,False,True
88,3,728,True,False,False
14437,71,7295,False,False,True
6193,380,72V3000W,False,True,False
89,3,730,True,False,False
13913,71,730,False,False,True
13893,71,730 Bare Chassis,False,False,True
13917,71,730 EJ,False,False,True
90,3,732,True,False,False
91,3,735,True,False,False
13921,71,735,False,False,True
13897,71,735 Bare Chassis,False,False,True
14433,71,7395,False,False,True
92,3,740,True,False,False
1185,43,740,True,False,False
13925,71,740 EJ,False,False,True
13929,71,740 GC,False,False,True
13901,71,740 GC Bare Chassis,False,False,True
4645,111,743,False,False,True
93,3,745,True,False,False
13933,71,745,False,False,True
13905,71,745 Bare Chassis,False,False,True
2595,81,748,False,True,False
2596,81,749,False,True,False
14429,71,7495 HD,False,False,True
14425,71,7495 HF with HydraCrowd,False,False,True
14421,71,7495 HF with Rope Crowd,False,False,True
14417,71,7495 with HydraCrowd,False,False,True
14413,71,7495 with Rope Crowd,False,False,True
12,1,75,True,False,False
996,35,75,True,False,False
4809,121,75 XT,False,False,True
5734,185,75-155 HP,False,False,True
94,3,750,True,False,False
1406,74,750,True,False,False
1516,88,750,True,False,False
5842,117,750,False,False,True
2597,81,750 GT,False,True,False
3399,278,750 GT,False,True,False
3469,181,750 S,False,True,False
3470,181,750 Strada,False,True,False
6290,166,750D,True,False,False
4646,111,751,False,False,True
9019,583,752e Platform/Canopy,False,False,True
6359,352,752S,False,True,False
4647,111,753,False,False,True
6528,197,754,False,False,True
95,3,760,True,False,False
1186,43,760,True,False,False
5843,117,760,False,False,True
4648,111,763,False,False,True
14781,71,770 (07),False,False,True
14801,71,770 Bare Chassis,False,False,True
14785,71,772 (07),False,False,True
14805,71,772 Bare Chassis,False,False,True
2240,111,773,False,False,True
14789,71,773 (07),False,False,True
14793,71,775 (07),False,False,True
14809,71,775 Bare Chassis,False,False,True
14797,71,777 (07),False,False,True
14813,71,777 (07) Bare Chassis,False,False,True
14745,71,777 (07) Water Truck,False,False,True
5943,152,78 hp,False,False,True
1187,43,780 Bertone,True,False,False
14749,71,785,False,False,True
14817,71,785 Bare Chassis,False,False,True
