id,is_car,is_moto,is_spec,man_name
790,False,False,True,Manitou
362,False,False,True,Mannesmann Demag
718,False,False,True,Maschiao
75,True,False,False,Maserati
115,False,False,True,Massey Ferguson
914,False,False,True,Mateng
178,False,False,True,Maxtrailer
80,True,False,False,Maybach
102,False,False,True,MAZ
24,True,False,True,Mazda
1033,False,False,True,Mccloskey
403,True,False,False,Mclaren
898,False,False,True,MCMS
511,False,False,True,Mecalac
25,True,False,True,Mercedes-Benz
26,True,True,False,Mercury
862,False,False,True,Merlo
1037,False,False,True,Metso
166,True,False,False,MG
281,False,True,False,Mikilon
28,True,False,False,Mini
282,False,True,False,Minsk
29,True,False,True,Mitsubishi
553,True,False,False,Mitsuoka
123,False,True,False,Mondial
48,True,False,False,Moskvich
283,False,True,False,Motax
181,False,True,False,Moto Guzzi
284,False,True,False,Moto Morini
285,False,True,False,Motoland
371,False,False,True,MST
1229,False,False,True,MTB
1149,False,False,True,Multicar
129,False,True,False,Muravey
278,False,True,False,MV Agusta
279,False,True,False,MZ
57,False,False,True,Neoplan
814,True,False,False,Neta
1205,False,False,True,Neva
114,False,False,True,New Holland
286,False,True,False,Nexus
179,True,True,True,Niewiadow
603,True,False,False,NIO
287,False,True,False,Nipponia
30,True,False,True,Nissan
349,False,True,False,NIU
288,False,True,False,Norton
1268,False,False,True,O&K
356,False,True,False,Odes
289,False,True,False,Ohvale
56,True,False,False,Oldsmobile
290,False,True,False,Omaks Motors
31,True,False,True,Opel
291,False,True,False,Orion
72,False,True,True,Other
388,False,False,True,Otokar
926,False,False,True,Ozdoken
930,False,False,True,Ozduman
946,False,False,True,Paksan
340,False,False,True,Palfinger
292,False,True,False,Pannonia
674,False,False,True,Parlayan
293,False,True,False,Patron
32,True,True,True,Peugeot
194,False,True,False,Piaggio
294,False,True,False,Pioneer
295,False,True,False,Pitster Pro
136,False,True,False,Polaris
1209,True,False,False,Polestar
794,False,False,True,Pom Augustow
54,True,False,False,Pontiac
214,False,True,False,Pony
33,True,False,False,Porsche
1213,False,False,True,Potain 
1003,False,False,True,PPM
296,False,True,False,Progasi
410,True,False,False,Proton
1185,False,True,False,Quicsilver
297,False,True,False,Racer
1225,False,False,True,Raimondi
523,False,True,False,Regal Boats
298,False,True,False,Regal Raptor
299,False,True,False,Reggy
300,False,True,False,Regulmoto
934,False,False,True,Remet
34,True,False,True,Renault
786,True,False,False,Renault Samsung
678,False,False,True,Ricosma 
301,False,True,False,Rieju
966,False,False,True,Rippa
974,False,True,False,RKS
88,True,False,False,Roewe
302,False,True,False,Rokon
758,False,False,True,Rol/Ex
79,True,False,False,Rolls-Royce
938,False,False,True,Rolmet
35,True,False,False,Rover
378,False,True,False,Royal Alloy
303,False,True,False,Royal Enfield
304,False,True,False,Rucker Perfomance
305,False,True,False,S2 Motors
36,True,False,False,Saab
306,False,True,False,Sachs
710,False,False,True,Sadin
770,False,False,True,Safer
1010,False,True,False,Safter
307,False,True,False,Sagitta
922,False,False,True,Sakalak
77,True,False,False,Saleen
365,False,False,True,Sampo Rosenlew
1025,False,False,True,Sandvik
373,False,False,True,Sany
444,False,True,False,Sanyou
754,False,False,True,Saragri
93,True,False,False,Saturn
308,False,True,False,Saxon
82,False,False,True,Scania
67,False,False,True,Schmitz Cargobull 
1133,False,False,True,Schwarzmuller
55,True,False,False,Scion
372,False,False,True,SDLG
742,False,True,False,Sea Ray
37,True,False,False,Seat
395,False,False,True,SEM
1085,False,False,True,Sennebogen 
109,False,False,True,Setra
163,False,False,True,Shacman
351,False,False,True,Shantui
662,False,False,True,Shanyu
309,False,True,False,Sherco
310,False,True,False,Siamoto
870,False,False,True,Simex
1109,False,False,True,Simpa
311,False,True,False,Simson
348,False,True,False,Sinnis
132,False,False,True,Sinotruk HOWO
987,False,True,False,Ski-doo
1055,False,False,True,SKIF 
38,True,False,False,Skoda
312,False,True,False,Skygo
1016,True,False,False,Skywell 
424,True,False,False,Smart
1279,False,False,True,Snorkel
1097,False,False,True,Soilmec
350,False,False,True,Solis
313,False,True,False,Sonik
397,True,False,False,Soueast
1077,False,False,True,Spierings 
64,True,False,False,Ssangyong
392,False,False,True,STA
314,False,True,False,Stels
1121,False,False,True,Steyr Daimler Puch
315,False,True,False,Stingray
39,True,False,True,Subaru
369,False,False,True,Sumitomo
316,False,True,False,Super Soco
432,False,True,False,Sur-Ron
40,True,True,True,Suzuki
317,False,True,True,Swift
212,False,True,False,SWM
195,False,True,False,SYM
320,False,True,False,Tacita
738,False,False,True,Tadano
654,False,False,True,Taishan
92,True,False,True,Tata
557,False,True,False,Tauris
658,False,False,True,Tavol
202,False,False,True,TCM
1081,False,False,True,Tecnoma 
364,False,False,True,Temsa
188,False,False,True,Terberg
113,False,False,True,Terex
155,True,True,False,Tesla
519,False,True,False,Tesoro Yachts
607,False,True,False,Teyin
437,False,True,False,TGB
321,False,True,False,Titan
318,False,True,False,TM Racing
338,False,True,False,TMZ
361,False,True,False,Toyomax
41,True,False,True,Toyota
322,False,True,False,Travertson
141,False,True,False,Triumph
579,False,False,True,Tumosan
910,False,False,True,Turan
1089,False,False,True,Turchi 
319,False,True,False,TVS
95,True,False,True,UAZ
323,False,True,False,UM
750,False,False,True,Untar
189,False,True,False,UNU
156,False,True,True,Ural
186,False,False,True,Valtra
363,False,False,True,Van Hool
44,True,False,False,VAZ
324,False,True,False,Ventu
874,False,False,True,Vermeer
193,False,True,False,Vespa
325,False,True,False,Victory
958,False,False,True,Vilagro
326,False,True,False,Viper
327,False,True,False,Virus
1141,False,False,True,VIS 
465,False,False,True,Vladimerec
1161,False,True,False,Voge
774,False,False,True,VÖGELE
734,False,False,True,Vogelzang
42,True,False,True,Volkswagen
850,False,False,True,Vollernter
43,True,False,True,Volvo
126,False,True,False,Voskhod
481,True,False,False,Voyah
328,False,True,False,Vyrus
561,False,True,False,Wangye
1029,False,False,True,Warrior
1189,False,False,True,Waymeck
329,False,True,False,Wels
1073,False,False,True,Wirtgen
1201,False,True,False,X scooters
722,False,False,True,XCMG
346,False,False,True,XGMA
1241,True,False,False,Xiaomi
1007,False,False,True,XILIN 
158,True,False,True,Xingtai
330,False,True,False,Xmotos
497,True,False,False,Xpeng
59,False,True,False,Yamaha
332,False,True,False,Yamasaki
210,False,False,True,Yanmar
331,False,True,False,YCF
1063,False,True,False,YIBEN
333,False,True,False,Yinxiang
390,True,False,True,YTO
591,True,False,False,Yuanxin Energy's
686,False,False,True,Yuksan 
97,True,False,True,ZAZ
477,True,False,False,Zeekr
122,False,False,True,Zeppelin
334,False,True,False,Zero
344,False,False,True,Zetor
878,False,False,True,Zide
99,False,False,True,ZIL
380,False,True,False,Znen
336,False,True,False,Zongshen
337,False,True,False,Zontes
131,False,False,True,Zoomlion
978,False,False,True,ZTM
549,True,False,False,Zukida
376,True,False,False,Zxauto
